{{,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"},"
{,1,0.99518-0.098017i,0.98079-0.19509i,0.95694-0.29028i,0.92388-0.38268i,0.88192-0.4714i,0.83147-0.55557i,0.77301-0.63439i,0.70711-0.70711i,0.63439-0.77301i,0.55557-0.83147i,0.4714-0.88192i,0.38268-0.92388i,0.29028-0.95694i,0.19509-0.98079i,0.098017-0.99518i,6.1232e-17-1i,-0.098017-0.99518i,-0.19509-0.98079i,-0.29028-0.95694i,-0.38268-0.92388i,-0.4714-0.88192i,-0.55557-0.83147i,-0.63439-0.77301i,-0.70711-0.70711i,-0.77301-0.63439i,-0.83147-0.55557i,-0.88192-0.4714i,-0.92388-0.38268i,-0.95694-0.29028i,-0.98079-0.19509i,-0.99518-0.098017i,-1-1.2246e-16i,-0.99518+0.098017i,-0.98079+0.19509i,-0.95694+0.29028i,-0.92388+0.38268i,-0.88192+0.4714i,-0.83147+0.55557i,-0.77301+0.63439i,-0.70711+0.70711i,-0.63439+0.77301i,-0.55557+0.83147i,-0.4714+0.88192i,-0.38268+0.92388i,-0.29028+0.95694i,-0.19509+0.98079i,-0.098017+0.99518i,-1.837e-16+1i,0.098017+0.99518i,0.19509+0.98079i,0.29028+0.95694i,0.38268+0.92388i,0.4714+0.88192i,0.55557+0.83147i,0.63439+0.77301i,0.70711+0.70711i,0.77301+0.63439i,0.83147+0.55557i,0.88192+0.4714i,0.92388+0.38268i,0.95694+0.29028i,0.98079+0.19509i,0.99518+0.098017i,"},"
{,1,0.98079-0.19509i,0.92388-0.38268i,0.83147-0.55557i,0.70711-0.70711i,0.55557-0.83147i,0.38268-0.92388i,0.19509-0.98079i,6.1232e-17-1i,-0.19509-0.98079i,-0.38268-0.92388i,-0.55557-0.83147i,-0.70711-0.70711i,-0.83147-0.55557i,-0.92388-0.38268i,-0.98079-0.19509i,-1-1.2246e-16i,-0.98079+0.19509i,-0.92388+0.38268i,-0.83147+0.55557i,-0.70711+0.70711i,-0.55557+0.83147i,-0.38268+0.92388i,-0.19509+0.98079i,-1.837e-16+1i,0.19509+0.98079i,0.38268+0.92388i,0.55557+0.83147i,0.70711+0.70711i,0.83147+0.55557i,0.92388+0.38268i,0.98079+0.19509i,1+2.4493e-16i,0.98079-0.19509i,0.92388-0.38268i,0.83147-0.55557i,0.70711-0.70711i,0.55557-0.83147i,0.38268-0.92388i,0.19509-0.98079i,3.0616e-16-1i,-0.19509-0.98079i,-0.38268-0.92388i,-0.55557-0.83147i,-0.70711-0.70711i,-0.83147-0.55557i,-0.92388-0.38268i,-0.98079-0.19509i,-1-3.6739e-16i,-0.98079+0.19509i,-0.92388+0.38268i,-0.83147+0.55557i,-0.70711+0.70711i,-0.55557+0.83147i,-0.38268+0.92388i,-0.19509+0.98079i,-4.2863e-16+1i,0.19509+0.98079i,0.38268+0.92388i,0.55557+0.83147i,0.70711+0.70711i,0.83147+0.55557i,0.92388+0.38268i,0.98079+0.19509i,"},"
{,1,0.95694-0.29028i,0.83147-0.55557i,0.63439-0.77301i,0.38268-0.92388i,0.098017-0.99518i,-0.19509-0.98079i,-0.4714-0.88192i,-0.70711-0.70711i,-0.88192-0.4714i,-0.98079-0.19509i,-0.99518+0.098017i,-0.92388+0.38268i,-0.77301+0.63439i,-0.55557+0.83147i,-0.29028+0.95694i,-1.837e-16+1i,0.29028+0.95694i,0.55557+0.83147i,0.77301+0.63439i,0.92388+0.38268i,0.99518+0.098017i,0.98079-0.19509i,0.88192-0.4714i,0.70711-0.70711i,0.4714-0.88192i,0.19509-0.98079i,-0.098017-0.99518i,-0.38268-0.92388i,-0.63439-0.77301i,-0.83147-0.55557i,-0.95694-0.29028i,-1-3.6739e-16i,-0.95694+0.29028i,-0.83147+0.55557i,-0.63439+0.77301i,-0.38268+0.92388i,-0.098017+0.99518i,0.19509+0.98079i,0.4714+0.88192i,0.70711+0.70711i,0.88192+0.4714i,0.98079+0.19509i,0.99518-0.098017i,0.92388-0.38268i,0.77301-0.63439i,0.55557-0.83147i,0.29028-0.95694i,5.5109e-16-1i,-0.29028-0.95694i,-0.55557-0.83147i,-0.77301-0.63439i,-0.92388-0.38268i,-0.99518-0.098017i,-0.98079+0.19509i,-0.88192+0.4714i,-0.70711+0.70711i,-0.4714+0.88192i,-0.19509+0.98079i,0.098017+0.99518i,0.38268+0.92388i,0.63439+0.77301i,0.83147+0.55557i,0.95694+0.29028i,"},"
{,1,0.92388-0.38268i,0.70711-0.70711i,0.38268-0.92388i,6.1232e-17-1i,-0.38268-0.92388i,-0.70711-0.70711i,-0.92388-0.38268i,-1-1.2246e-16i,-0.92388+0.38268i,-0.70711+0.70711i,-0.38268+0.92388i,-1.837e-16+1i,0.38268+0.92388i,0.70711+0.70711i,0.92388+0.38268i,1+2.4493e-16i,0.92388-0.38268i,0.70711-0.70711i,0.38268-0.92388i,3.0616e-16-1i,-0.38268-0.92388i,-0.70711-0.70711i,-0.92388-0.38268i,-1-3.6739e-16i,-0.92388+0.38268i,-0.70711+0.70711i,-0.38268+0.92388i,-4.2863e-16+1i,0.38268+0.92388i,0.70711+0.70711i,0.92388+0.38268i,1+4.8986e-16i,0.92388-0.38268i,0.70711-0.70711i,0.38268-0.92388i,5.5109e-16-1i,-0.38268-0.92388i,-0.70711-0.70711i,-0.92388-0.38268i,-1-6.1232e-16i,-0.92388+0.38268i,-0.70711+0.70711i,-0.38268+0.92388i,-2.4499e-15+1i,0.38268+0.92388i,0.70711+0.70711i,0.92388+0.38268i,1+7.3479e-16i,0.92388-0.38268i,0.70711-0.70711i,0.38268-0.92388i,-9.8034e-16-1i,-0.38268-0.92388i,-0.70711-0.70711i,-0.92388-0.38268i,-1-8.5725e-16i,-0.92388+0.38268i,-0.70711+0.70711i,-0.38268+0.92388i,-2.6948e-15+1i,0.38268+0.92388i,0.70711+0.70711i,0.92388+0.38268i,"},"
{,1,0.88192-0.4714i,0.55557-0.83147i,0.098017-0.99518i,-0.38268-0.92388i,-0.77301-0.63439i,-0.98079-0.19509i,-0.95694+0.29028i,-0.70711+0.70711i,-0.29028+0.95694i,0.19509+0.98079i,0.63439+0.77301i,0.92388+0.38268i,0.99518-0.098017i,0.83147-0.55557i,0.4714-0.88192i,3.0616e-16-1i,-0.4714-0.88192i,-0.83147-0.55557i,-0.99518-0.098017i,-0.92388+0.38268i,-0.63439+0.77301i,-0.19509+0.98079i,0.29028+0.95694i,0.70711+0.70711i,0.95694+0.29028i,0.98079-0.19509i,0.77301-0.63439i,0.38268-0.92388i,-0.098017-0.99518i,-0.55557-0.83147i,-0.88192-0.4714i,-1-6.1232e-16i,-0.88192+0.4714i,-0.55557+0.83147i,-0.098017+0.99518i,0.38268+0.92388i,0.77301+0.63439i,0.98079+0.19509i,0.95694-0.29028i,0.70711-0.70711i,0.29028-0.95694i,-0.19509-0.98079i,-0.63439-0.77301i,-0.92388-0.38268i,-0.99518+0.098017i,-0.83147+0.55557i,-0.4714+0.88192i,-2.6948e-15+1i,0.4714+0.88192i,0.83147+0.55557i,0.99518+0.098017i,0.92388-0.38268i,0.63439-0.77301i,0.19509-0.98079i,-0.29028-0.95694i,-0.70711-0.70711i,-0.95694-0.29028i,-0.98079+0.19509i,-0.77301+0.63439i,-0.38268+0.92388i,0.098017+0.99518i,0.55557+0.83147i,0.88192+0.4714i,"},"
{,1,0.83147-0.55557i,0.38268-0.92388i,-0.19509-0.98079i,-0.70711-0.70711i,-0.98079-0.19509i,-0.92388+0.38268i,-0.55557+0.83147i,-1.837e-16+1i,0.55557+0.83147i,0.92388+0.38268i,0.98079-0.19509i,0.70711-0.70711i,0.19509-0.98079i,-0.38268-0.92388i,-0.83147-0.55557i,-1-3.6739e-16i,-0.83147+0.55557i,-0.38268+0.92388i,0.19509+0.98079i,0.70711+0.70711i,0.98079+0.19509i,0.92388-0.38268i,0.55557-0.83147i,5.5109e-16-1i,-0.55557-0.83147i,-0.92388-0.38268i,-0.98079+0.19509i,-0.70711+0.70711i,-0.19509+0.98079i,0.38268+0.92388i,0.83147+0.55557i,1+7.3479e-16i,0.83147-0.55557i,0.38268-0.92388i,-0.19509-0.98079i,-0.70711-0.70711i,-0.98079-0.19509i,-0.92388+0.38268i,-0.55557+0.83147i,-2.6948e-15+1i,0.55557+0.83147i,0.92388+0.38268i,0.98079-0.19509i,0.70711-0.70711i,0.19509-0.98079i,-0.38268-0.92388i,-0.83147-0.55557i,-1-1.1022e-15i,-0.83147+0.55557i,-0.38268+0.92388i,0.19509+0.98079i,0.70711+0.70711i,0.98079+0.19509i,0.92388-0.38268i,0.55557-0.83147i,-4.9048e-16-1i,-0.55557-0.83147i,-0.92388-0.38268i,-0.98079+0.19509i,-0.70711+0.70711i,-0.19509+0.98079i,0.38268+0.92388i,0.83147+0.55557i,"},"
{,1,0.77301-0.63439i,0.19509-0.98079i,-0.4714-0.88192i,-0.92388-0.38268i,-0.95694+0.29028i,-0.55557+0.83147i,0.098017+0.99518i,0.70711+0.70711i,0.99518+0.098017i,0.83147-0.55557i,0.29028-0.95694i,-0.38268-0.92388i,-0.88192-0.4714i,-0.98079+0.19509i,-0.63439+0.77301i,-4.2863e-16+1i,0.63439+0.77301i,0.98079+0.19509i,0.88192-0.4714i,0.38268-0.92388i,-0.29028-0.95694i,-0.83147-0.55557i,-0.99518+0.098017i,-0.70711+0.70711i,-0.098017+0.99518i,0.55557+0.83147i,0.95694+0.29028i,0.92388-0.38268i,0.4714-0.88192i,-0.19509-0.98079i,-0.77301-0.63439i,-1-8.5725e-16i,-0.77301+0.63439i,-0.19509+0.98079i,0.4714+0.88192i,0.92388+0.38268i,0.95694-0.29028i,0.55557-0.83147i,-0.098017-0.99518i,-0.70711-0.70711i,-0.99518-0.098017i,-0.83147+0.55557i,-0.29028+0.95694i,0.38268+0.92388i,0.88192+0.4714i,0.98079-0.19509i,0.63439-0.77301i,-4.9048e-16-1i,-0.63439-0.77301i,-0.98079-0.19509i,-0.88192+0.4714i,-0.38268+0.92388i,0.29028+0.95694i,0.83147+0.55557i,0.99518-0.098017i,0.70711-0.70711i,0.098017-0.99518i,-0.55557-0.83147i,-0.95694-0.29028i,-0.92388+0.38268i,-0.4714+0.88192i,0.19509+0.98079i,0.77301+0.63439i,"},"
{,1,0.70711-0.70711i,6.1232e-17-1i,-0.70711-0.70711i,-1-1.2246e-16i,-0.70711+0.70711i,-1.837e-16+1i,0.70711+0.70711i,1+2.4493e-16i,0.70711-0.70711i,3.0616e-16-1i,-0.70711-0.70711i,-1-3.6739e-16i,-0.70711+0.70711i,-4.2863e-16+1i,0.70711+0.70711i,1+4.8986e-16i,0.70711-0.70711i,5.5109e-16-1i,-0.70711-0.70711i,-1-6.1232e-16i,-0.70711+0.70711i,-2.4499e-15+1i,0.70711+0.70711i,1+7.3479e-16i,0.70711-0.70711i,-9.8034e-16-1i,-0.70711-0.70711i,-1-8.5725e-16i,-0.70711+0.70711i,-2.6948e-15+1i,0.70711+0.70711i,1+9.7972e-16i,0.70711-0.70711i,-7.3541e-16-1i,-0.70711-0.70711i,-1-1.1022e-15i,-0.70711+0.70711i,-2.9398e-15+1i,0.70711+0.70711i,1+1.2246e-15i,0.70711-0.70711i,-4.9048e-16-1i,-0.70711-0.70711i,-1-4.8998e-15i,-0.70711+0.70711i,-3.1847e-15+1i,0.70711+0.70711i,1+1.4696e-15i,0.70711-0.70711i,-2.4555e-16-1i,-0.70711-0.70711i,-1+1.9607e-15i,-0.70711+0.70711i,-3.4296e-15+1i,0.70711+0.70711i,1+1.7145e-15i,0.70711-0.70711i,-6.1898e-19-1i,-0.70711-0.70711i,-1-5.3897e-15i,-0.70711+0.70711i,-3.6746e-15+1i,0.70711+0.70711i,"},"
{,1,0.63439-0.77301i,-0.19509-0.98079i,-0.88192-0.4714i,-0.92388+0.38268i,-0.29028+0.95694i,0.55557+0.83147i,0.99518+0.098017i,0.70711-0.70711i,-0.098017-0.99518i,-0.83147-0.55557i,-0.95694+0.29028i,-0.38268+0.92388i,0.4714+0.88192i,0.98079+0.19509i,0.77301-0.63439i,5.5109e-16-1i,-0.77301-0.63439i,-0.98079+0.19509i,-0.4714+0.88192i,0.38268+0.92388i,0.95694+0.29028i,0.83147-0.55557i,0.098017-0.99518i,-0.70711-0.70711i,-0.99518+0.098017i,-0.55557+0.83147i,0.29028+0.95694i,0.92388+0.38268i,0.88192-0.4714i,0.19509-0.98079i,-0.63439-0.77301i,-1-1.1022e-15i,-0.63439+0.77301i,0.19509+0.98079i,0.88192+0.4714i,0.92388-0.38268i,0.29028-0.95694i,-0.55557-0.83147i,-0.99518-0.098017i,-0.70711+0.70711i,0.098017+0.99518i,0.83147+0.55557i,0.95694-0.29028i,0.38268-0.92388i,-0.4714-0.88192i,-0.98079-0.19509i,-0.77301+0.63439i,-3.4296e-15+1i,0.77301+0.63439i,0.98079-0.19509i,0.4714-0.88192i,-0.38268-0.92388i,-0.95694-0.29028i,-0.83147+0.55557i,-0.098017+0.99518i,0.70711+0.70711i,0.99518-0.098017i,0.55557-0.83147i,-0.29028-0.95694i,-0.92388-0.38268i,-0.88192+0.4714i,-0.19509+0.98079i,0.63439+0.77301i,"},"
{,1,0.55557-0.83147i,-0.38268-0.92388i,-0.98079-0.19509i,-0.70711+0.70711i,0.19509+0.98079i,0.92388+0.38268i,0.83147-0.55557i,3.0616e-16-1i,-0.83147-0.55557i,-0.92388+0.38268i,-0.19509+0.98079i,0.70711+0.70711i,0.98079-0.19509i,0.38268-0.92388i,-0.55557-0.83147i,-1-6.1232e-16i,-0.55557+0.83147i,0.38268+0.92388i,0.98079+0.19509i,0.70711-0.70711i,-0.19509-0.98079i,-0.92388-0.38268i,-0.83147+0.55557i,-2.6948e-15+1i,0.83147+0.55557i,0.92388-0.38268i,0.19509-0.98079i,-0.70711-0.70711i,-0.98079+0.19509i,-0.38268+0.92388i,0.55557+0.83147i,1+1.2246e-15i,0.55557-0.83147i,-0.38268-0.92388i,-0.98079-0.19509i,-0.70711+0.70711i,0.19509+0.98079i,0.92388+0.38268i,0.83147-0.55557i,-2.4555e-16-1i,-0.83147-0.55557i,-0.92388+0.38268i,-0.19509+0.98079i,0.70711+0.70711i,0.98079-0.19509i,0.38268-0.92388i,-0.55557-0.83147i,-1-5.3897e-15i,-0.55557+0.83147i,0.38268+0.92388i,0.98079+0.19509i,0.70711-0.70711i,-0.19509-0.98079i,-0.92388-0.38268i,-0.83147+0.55557i,-3.9195e-15+1i,0.83147+0.55557i,0.92388-0.38268i,0.19509-0.98079i,-0.70711-0.70711i,-0.98079+0.19509i,-0.38268+0.92388i,0.55557+0.83147i,"},"
